Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
10.000000	5.0000000	1002.0313	0.00099797278	41.893462	46.883326	0.15061790	4.1710128	4.1769552	1455.2221	-0.23218398	0.0013015832	0.58194943	liquid
20.000000	5.0000000	1000.4396	0.00099956059	83.609136	88.606939	0.29543147	4.1394191	4.1690230	1490.4558	-0.22471984	0.0010001435	0.60087384	liquid
30.000000	5.0000000	997.82171	0.0010021830	125.27139	130.28231	0.43522466	4.1018381	4.1667263	1517.4617	-0.21811502	0.00079715097	0.61707326	liquid
40.000000	5.0000000	994.35518	0.0010056769	166.92327	171.95166	0.57046070	4.0596067	4.1675290	1537.4369	-0.21207693	0.00065335810	0.63107122	liquid
50.000000	5.0000000	990.16137	0.0010099364	208.58935	213.63903	0.70150182	4.0137693	4.1701974	1551.3581	-0.20640391	0.00054750919	0.64316834	liquid
60.000000	5.0000000	985.32683	0.0010148917	250.28564	255.36009	0.82865157	3.9652709	4.1742246	1560.0281	-0.20094314	0.00046721624	0.65354902	liquid
70.000000	5.0000000	979.91508	0.0010204966	292.02521	297.12770	0.95217816	3.9149848	4.1795107	1564.1042	-0.19557122	0.00040482274	0.66233685	liquid
80.000000	5.0000000	973.97353	0.0010267219	333.82127	338.95488	1.0723272	3.8636926	4.1861713	1564.1212	-0.19018403	0.00035536611	0.66962367	liquid
90.000000	5.0000000	967.53774	0.0010335514	375.68867	380.85643	1.1893287	3.8120660	4.1944250	1560.5113	-0.18469054	0.00031550238	0.67548468	liquid
100.00000	5.0000000	960.63413	0.0010409790	417.64466	422.84956	1.3034004	3.7606584	4.2045323	1553.6230	-0.17900820	0.00028290469	0.67998602	liquid
110.00000	5.0000000	953.28173	0.0010490078	459.70912	464.95416	1.4147498	3.7099088	4.2167663	1543.7359	-0.17305921	0.00025590987	0.68318840	liquid
120.00000	5.0000000	945.49327	0.0010576490	501.90465	507.19289	1.5235757	3.6601528	4.2314034	1531.0739	-0.16676710	0.00023330180	0.68514841	liquid
130.00000	5.0000000	937.27590	0.0010669217	544.25657	549.59118	1.6300686	3.6116371	4.2487255	1515.8151	-0.16005351	0.00021417357	0.68591889	liquid
140.00000	5.0000000	928.63164	0.0010768533	586.79307	592.17734	1.7344123	3.5645355	4.2690294	1498.1002	-0.15283505	0.00019783722	0.68554871	liquid
150.00000	5.0000000	919.55747	0.0010874796	629.54538	634.98278	1.8367846	3.5189643	4.2926398	1478.0385	-0.14501993	0.00018376284	0.68408237	liquid
160.00000	5.0000000	910.04534	0.0010988464	672.54815	678.04238	1.9373593	3.4749959	4.3199267	1455.7116	-0.13650429	0.00017153659	0.68165054	liquid
170.00000	5.0000000	900.08191	0.0011110100	715.83996	721.39501	2.0363069	3.4326715	4.3513255	1431.1768	-0.12716778	0.00016083117	0.67854589	liquid
