Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
200.00000	1.0000000	4.8538588	0.20602165	2622.2428	2828.2645	6.6955428	1.7519940	2.4280605	517.37950	24.344440	1.5876043e-05	0.036311938	vapor
300.00000	1.0000000	3.8761512	0.25798787	2793.6445	3051.6324	7.1246236	1.6096290	2.1424901	578.48544	12.301774	2.0205472e-05	0.045122241	vapor
400.00000	1.0000000	3.2615189	0.30660561	2957.8686	3264.4742	7.4669422	1.6321017	2.1292876	628.25371	7.4556469	2.4433374e-05	0.055627059	vapor
500.00000	1.0000000	2.8239600	0.35411267	3124.9877	3479.1004	7.7641481	1.6850627	2.1676612	672.34475	4.9718866	2.8581187e-05	0.067303350	vapor
600.00000	1.0000000	2.4930917	0.40110839	3297.4669	3698.5753	8.0310357	1.7484364	2.2236580	712.57165	3.5114521	3.2641886e-05	0.079811347	vapor
700.00000	1.0000000	2.2330011	0.44782782	3476.2491	3924.0769	8.2754868	1.8161363	2.2871457	749.89140	2.5772012	3.6607480e-05	0.092928774	vapor
800.00000	1.0000000	2.0227256	0.49438243	3661.7120	4156.0945	8.5023826	1.8849921	2.3533921	784.92927	1.9440102	4.0473218e-05	0.10650369	vapor
900.00000	1.0000000	1.8490041	0.54083167	3853.9203	4394.7520	8.7149688	1.9528881	2.4195718	818.12857	1.4960660	4.4237492e-05	0.12042653	vapor
1000.0000	1.0000000	1.7029685	0.58720991	4052.7355	4639.9455	8.9155054	2.0183712	2.4838727	849.81321	1.1683345	4.7901011e-05	0.13461536	vapor
1100.0000	1.0000000	1.5784365	0.63353830	4257.8874	4891.4256	9.1056285	2.0805065	2.5451632	880.22346	0.92188203	undefined	undefined	vapor
1200.0000	1.0000000	1.4709549	0.67983050	4469.0255	5148.8560	9.2865669	2.1387659	2.6028006	909.53992	0.73223226	undefined	undefined	vapor
1300.0000	1.0000000	1.3772289	0.72609573	4685.7582	5411.8539	9.4592768	2.1929249	2.6564902	937.90059	0.58338915	undefined	undefined	vapor
1400.0000	1.0000000	1.2947659	0.77234037	4907.6800	5680.0204	9.6245270	2.2429729	2.7061765	965.41289	0.46456080	undefined	undefined	vapor
1500.0000	1.0000000	1.2216441	0.81856901	5134.3900	5952.9590	9.7829538	2.2890407	2.7519606	992.16213	0.36826821	undefined	undefined	vapor
200.00000	1.2000000	5.9053228	0.16933875	2612.8536	2816.0601	6.5908827	1.8370495	2.5824967	513.04897	24.424671	1.5801370e-05	0.037034940	vapor
300.00000	1.2000000	4.6759909	0.21385841	2789.6887	3046.3188	7.0334946	1.6256867	2.1750495	576.81908	12.312803	2.0182271e-05	0.045493275	vapor
400.00000	1.2000000	3.9243982	0.25481614	2955.5098	3261.2891	7.3792754	1.6383815	2.1431724	627.36962	7.4543941	2.4429583e-05	0.055850166	vapor
500.00000	1.2000000	3.3939879	0.29463864	3123.3753	3476.9417	7.6779128	1.6882671	2.1752249	671.83177	4.9696038	2.8585570e-05	0.067465827	vapor
600.00000	1.2000000	2.9945080	0.33394468	3296.2787	3697.0124	7.9455286	1.7503212	2.2283373	712.26818	3.5097199	3.2649686e-05	0.079955114	vapor
700.00000	1.2000000	2.6811595	0.37297296	3475.3299	3922.8975	8.1903970	1.8173501	2.2902809	749.71774	2.5759991	3.6616509e-05	0.093073878	vapor
800.00000	1.2000000	2.4281514	0.41183594	3660.9761	4155.1792	8.4175520	1.8858267	2.3556140	784.84094	1.9431731	4.0482430e-05	0.10665915	vapor
900.00000	1.2000000	2.2192960	0.45059335	3853.3159	4394.0279	8.6303089	1.9534918	2.4212142	818.09867	1.4954703	4.4246387e-05	0.12059553	vapor
1000.0000	1.2000000	2.0438208	0.48927968	4052.2294	4639.3650	8.8309632	2.0188262	2.4851273	849.82456	1.1679001	4.7909363e-05	0.13479813	vapor
1100.0000	1.2000000	1.8942403	0.52791611	4257.4570	4890.9564	9.0211705	2.0808611	2.5461472	880.26455	0.92155813	undefined	undefined	vapor
1200.0000	1.2000000	1.7651741	0.56651636	4468.6552	5148.4748	9.2021709	2.1390500	2.6035890	909.60281	0.73198607	undefined	undefined	vapor
1300.0000	1.2000000	1.6526478	0.60508961	4685.4364	5411.5440	9.3749276	2.1931579	2.6571332	937.97962	0.58319885	undefined	undefined	vapor
1400.0000	1.2000000	1.5536580	0.64364228	4907.3982	5679.7690	9.5402139	2.2431678	2.7067087	965.50395	0.46441154	undefined	undefined	vapor
1500.0000	1.2000000	1.4658910	0.68217895	5134.1416	5952.7564	9.6986690	2.2892063	2.7524067	992.26218	0.36814962	undefined	undefined	vapor
200.00000	1.4000000	6.9917626	0.14302545	2602.7230	2802.9587	6.4974558	1.9486147	2.7822918	508.20548	24.505956	1.5725710e-05	0.037799429	vapor
300.00000	1.4000000	5.4847284	0.18232444	2785.6651	3040.9193	6.9552321	1.6423420	2.2090518	575.12502	12.320317	2.0159312e-05	0.045871083	vapor
400.00000	1.4000000	4.5909369	0.21782046	2953.1351	3258.0838	7.3045830	1.6447501	2.1573119	626.47982	7.4527358	2.4426030e-05	0.056075489	vapor
500.00000	1.4000000	3.9657963	0.25215617	3121.7578	3474.7764	7.6046713	1.6914896	2.1828556	671.31736	4.9672380	2.8590126e-05	0.067629433	vapor
600.00000	1.4000000	3.4968675	0.28597023	3295.0886	3695.4469	7.8730203	1.7522105	2.2330391	711.96441	3.5079601	3.2657607e-05	0.080099620	vapor
700.00000	1.4000000	3.1298407	0.31950508	3474.4099	3921.7170	8.1183077	1.8185650	2.2934250	749.54411	2.5747842	3.6625622e-05	0.093219509	vapor
800.00000	1.4000000	2.8338717	0.35287412	3660.2398	4154.2635	8.3457224	1.8866615	2.3578397	784.75272	1.9423288	4.0491701e-05	0.10681501	vapor
900.00000	1.4000000	2.5897517	0.38613740	3852.7113	4393.3037	8.5586502	1.9540955	2.4228583	818.06891	1.4948697	4.4255325e-05	0.12076484	vapor
1000.0000	1.4000000	2.3847593	0.41932952	4051.7232	4638.7845	8.7594223	2.0192811	2.4863828	849.83603	1.1674623	4.7917747e-05	0.13498114	vapor
1100.0000	1.4000000	2.2100829	0.45247172	4257.0267	4890.4871	8.9497138	2.0812155	2.5471315	880.30575	0.92123178	undefined	undefined	vapor
1200.0000	1.4000000	2.0594026	0.48557771	4468.2848	5148.0936	9.1307763	2.1393340	2.6043775	909.66579	0.73173799	undefined	undefined	vapor
1300.0000	1.4000000	1.9280576	0.51865670	4685.1147	5411.2341	9.3035798	2.1933908	2.6577762	938.05873	0.58300708	undefined	undefined	vapor
1400.0000	1.4000000	1.8125297	0.55171510	4907.1164	5679.5176	9.4689022	2.2433625	2.7072410	965.59508	0.46426110	undefined	undefined	vapor
1500.0000	1.4000000	1.7101106	0.58475750	5133.8932	5952.5537	9.6273857	2.2893719	2.7528529	992.36228	0.36803006	undefined	undefined	vapor
200.00000	1.6000000	864.69252	0.0011564805	850.43905	852.28942	2.3304619	3.3179040	4.4955783	1332.2160	-0.089464257	0.00013459564	0.66005238	liquid
300.00000	1.6000000	6.3026922	0.15866236	2781.5718	3035.4316	6.8863473	1.6596054	2.2445575	573.40251	12.324397	2.0136599e-05	0.046255953	vapor
400.00000	1.6000000	5.2611950	0.19007089	2950.7445	3254.8579	7.2393798	1.6512078	2.1717106	625.58427	7.4506752	2.4422717e-05	0.056303069	vapor
500.00000	1.6000000	4.5394003	0.22029342	3120.1351	3472.6046	7.5409384	1.6947303	2.1905541	670.80155	4.9647893	2.8594856e-05	0.067794183	vapor
600.00000	1.6000000	4.0001748	0.24998907	3293.8965	3693.8790	7.8100256	1.7541041	2.2377636	711.66034	3.5061729	3.2665649e-05	0.080244870	vapor
700.00000	1.6000000	3.5790462	0.27940405	3473.4889	3920.5354	8.0557335	1.8197810	2.2965779	749.37051	2.5735565	3.6634820e-05	0.093365669	vapor
800.00000	1.6000000	3.2398872	0.30865272	3659.5030	4153.3474	8.2834085	1.8874964	2.3600692	784.66463	1.9414772	4.0501033e-05	0.10697127	vapor
900.00000	1.6000000	2.9603715	0.33779545	3852.1065	4392.5792	8.4965075	1.9546992	2.4245043	818.03929	1.4942645	4.4264306e-05	0.12093444	vapor
1000.0000	1.6000000	2.7257840	0.36686692	4051.2168	4638.2039	8.6973975	2.0197358	2.4876391	849.84763	1.1670212	4.7926161e-05	0.13516438	vapor
1100.0000	1.6000000	2.5259641	0.39588844	4256.5963	4890.0178	8.8877733	2.0815699	2.5481163	880.34706	0.92090298	undefined	undefined	vapor
1200.0000	1.6000000	2.3536404	0.42487374	4467.9145	5147.7125	9.0688978	2.1396179	2.6051663	909.72886	0.73148804	undefined	undefined	vapor
1300.0000	1.6000000	2.2034584	0.45383203	4684.7929	5410.9242	9.2417482	2.1936236	2.6584193	938.13792	0.58281383	undefined	undefined	vapor
1400.0000	1.6000000	2.0713809	0.48276973	4906.8346	5679.2662	9.4071067	2.2435572	2.7077733	965.68628	0.46410947	undefined	undefined	vapor
1500.0000	1.6000000	1.9543028	0.51169143	5133.6448	5952.3511	9.5656185	2.2895374	2.7532990	992.46244	0.36790953	undefined	undefined	vapor
200.00000	1.8000000	864.84510	0.0011562764	850.28864	852.36993	2.3301433	3.3177745	4.4944073	1332.9497	-0.089656884	0.00013464668	0.66021908	liquid
300.00000	1.8000000	7.1302287	0.14024796	2777.4071	3029.8534	6.8245883	1.6774883	2.2816319	571.65072	12.325127	2.0114137e-05	0.046648195	vapor
400.00000	1.8000000	5.9352339	0.16848536	2948.3378	3251.6114	7.1814172	1.6577549	2.1863728	624.68293	7.4482153	2.4419646e-05	0.056532951	vapor
500.00000	1.8000000	5.1148153	0.19551048	3118.5073	3470.4261	7.4844661	1.6979892	2.1983208	670.28434	4.9622579	2.8599759e-05	0.067960086	vapor
