Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
45.806329	0.010000000	989.83328	0.0010102711	191.79584	191.80594	0.64919561	4.0465842	4.1805214	1537.3661	-0.20863845	0.00058732854	0.63570736	0.068643430	0.068165722	14.670130	2437.1574	2583.8587	8.1488202	1.4615029	1.9400432	440.50844	165.03417	1.0376644e-05	0.019942101
79.599087	0.046650000	972.01536	0.0010287903	333.28123	333.32922	1.0708119	3.8750481	4.1965725	1554.4073	-0.18987676	0.00035581674	0.66670299	0.062746288	0.28923650	3.4573783	2481.0582	2642.3449	7.6165856	1.5103038	2.0108523	461.16081	88.348409	1.1525087e-05	0.022681649
94.577118	0.083300000	962.17353	0.0010393136	396.22106	396.30763	1.2455544	3.7964242	4.2097715	1547.4683	-0.18138314	0.00029846163	0.67496886	0.059950253	0.49760101	2.0096422	2499.5317	2666.9349	7.4203159	1.5421900	2.0590899	469.38250	71.507836	1.2043837e-05	0.024047320
104.77153	0.11995000	954.87333	0.0010472593	439.18304	439.30866	1.3607969	3.7434691	4.2214142	1538.6307	-0.17531406	0.00026809608	0.67886591	0.057987082	0.69983077	1.4289169	2511.6362	2683.0348	7.2978129	1.5688702	2.1002229	474.59284	62.914627	1.2397910e-05	0.025044182
112.64656	0.15660000	948.91512	0.0010538350	472.45522	472.62025	1.4479341	3.7031835	4.2320899	1529.7318	-0.17040361	0.00024825033	0.68096723	0.056438527	0.89805820	1.1135136	2520.6834	2695.0596	7.2085852	1.5926782	2.1374318	478.38523	57.386210	1.2671411e-05	0.025856601
119.12817	0.19325000	943.80751	0.0010595381	499.90411	500.10886	1.5184940	3.6705471	4.2420800	1521.1350	-0.16618675	0.00023385214	0.68212471	0.055143694	1.0933654	0.91460734	2527.9090	2704.6568	7.1383530	1.6145590	2.1720181	481.34555	53.398726	1.2896285e-05	0.026555531
124.67148	0.22990000	939.29538	0.0010646278	523.43070	523.67546	1.5780510	3.6430607	4.2515471	1512.9120	-0.16243700	0.00022272718	0.68271730	0.054022174	1.2864078	0.77735849	2533.9170	2712.6318	7.0804092	1.6350029	2.2046609	483.75695	50.318858	1.3088335e-05	0.027176499
129.53602	0.26655000	935.22728	0.0010692588	544.11903	544.40404	1.6297425	3.6192903	4.2605969	1505.0579	-0.15902576	0.00021376030	0.68294320	0.053027520	1.4776245	0.67676192	2539.0503	2719.4412	7.0310653	1.6543031	2.2357677	485.77860	47.829320	1.3256610e-05	0.027740076
133.88459	0.30320000	931.50518	0.0010735313	562.64938	562.97488	1.6755156	3.5983338	4.2693030	1497.5462	-0.15587239	0.00020631009	0.68291749	0.052130272	1.6673298	0.59976138	2543.5229	2725.3706	6.9880756	1.6726523	2.2656070	487.50905	45.750950	1.3406804e-05	0.028259348
137.82647	0.33985000	928.06155	0.0010775147	579.47836	579.84456	1.7166650	3.5795850	4.2777194	1490.3463	-0.15292274	0.00019997674	0.68271207	0.051310479	1.8557592	0.53886302	2547.4779	2730.6105	6.9499719	1.6901865	2.2943677	489.01370	43.973715	1.3542744e-05	0.028743206
141.43875	0.37650000	924.84767	0.0010812591	594.92821	595.33530	1.7540970	3.5626168	4.2858875	1483.4287	-0.15013854	0.00019449573	0.68237438	0.050553947	2.0430957	0.48945333	2551.0159	2735.2951	6.9157416	1.7070068	2.3221904	490.33816	42.425676	1.3667138e-05	0.029197994
144.77800	0.41315000	921.82714	0.0010848021	609.23532	609.68351	1.7884713	3.5471159	4.2938395	1476.7667	-0.14749165	0.00018968379	0.68193703	0.049850190	2.2294854	0.44853401	2554.2103	2739.5221	6.8846568	1.7231915	2.3491834	491.51553	41.057456	1.3781973e-05	0.029628414
147.88700	0.44980000	918.97195	0.0010881725	622.57859	623.06805	1.8202837	3.5328461	4.3016015	1470.3369	-0.14496071	0.00018540921	0.68142326	0.049191223	2.4150472	0.41407058	2557.1165	2743.3655	6.8561771	1.7388031	2.3754334	492.57060	39.833824	1.3888753e-05	0.030038061
150.79895	0.48645000	916.26004	0.0010913932	635.09684	635.62775	1.8499169	3.5196243	4.3091949	1464.1184	-0.14252912	0.00018157443	0.68085002	0.048570813	2.5998802	0.38463311	2559.7774	2746.8822	6.8298902	1.7538931	2.4010110	493.52241	38.728824	1.3988647e-05	0.030429746
153.54016	0.52310000	913.67368	0.0010944827	646.90011	647.47264	1.8776721	3.5073059	4.3166374	1458.0933	-0.14018364	0.00017810537	0.68023003	0.047983992	2.7840677	0.35918666	2562.2268	2750.1173	6.8054743	1.7685047	2.4259756	494.38592	37.722821	1.4082581e-05	0.030805722
