Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
1.0000000	0.00065708550	999.85099	0.0010001490	4.1760531	4.1767103	0.015260304	4.2152298	4.2165992	1407.2064	-0.24045980	0.0017312279	0.55810805	0.075507662	0.0051964579	192.43878	2376.2825	2502.7312	9.1290831	1.4192035	1.8853354	409.71719	574.21968	8.9741474e-06	0.016824161
2.0000000	0.00070598559	999.89254	0.0010001075	8.3910817	8.3917877	0.030607234	4.2129010	4.2134957	1412.0752	-0.23950837	0.0016737043	0.56058836	0.075367062	0.0055630408	179.75781	2377.6585	2504.5650	9.1026522	1.4200381	1.8863389	410.44043	556.22607	9.0029491e-06	0.016888609
3.0000000	0.00075808051	999.91707	0.0010000829	12.603120	12.603879	0.045887641	4.2104719	4.2106171	1416.8302	-0.23857592	0.0016191814	0.56301621	0.075225870	0.0059520819	168.00844	2379.0341	2506.3980	9.0764657	1.4208790	1.8873524	411.16199	538.83860	9.0318980e-06	0.016953278
4.0000000	0.00081354826	999.92513	0.0010000749	16.812386	16.813199	0.061102789	4.2079468	4.2079468	1421.4738	-0.23766155	0.0015674495	0.56539384	0.075084087	0.0063647340	157.11576	2380.4091	2508.2303	9.0505206	1.4217258	1.8883754	411.88188	522.04070	9.0609914e-06	0.017018169
5.0000000	0.00087257506	999.91724	0.0010000828	21.019078	21.019951	0.076253871	4.2053296	4.2054697	1426.0080	-0.23676441	0.0015183169	0.56772330	0.074941714	0.0068021965	147.01134	2381.7835	2510.0619	9.0248140	1.4225781	1.8894077	412.60012	505.81590	9.0902264e-06	0.017083283
6.0000000	0.00093535516	999.89388	0.0010001061	25.223384	25.224320	0.091342014	4.2026241	4.2031719	1430.4350	-0.23588370	0.0014716083	0.57000655	0.074798753	0.0072657164	137.63268	2383.1574	2511.8928	8.9993430	1.4234357	1.8904490	413.31670	490.14791	9.1196005e-06	0.017148619
7.0000000	0.0010020911	999.85552	0.0010001445	29.425477	29.426479	0.10636829	4.1998338	4.2010410	1434.7568	-0.23501865	0.0014271630	0.57224540	0.074655204	0.0077565896	128.92264	2384.5307	2513.7229	8.9741049	1.4242982	1.8914991	414.03165	475.02058	9.1491109e-06	0.017214179
8.0000000	0.0010729949	999.80258	0.0010001975	33.625516	33.626589	0.12133371	4.1969617	4.1990654	1438.9753	-0.23416854	0.0013848334	0.57444154	0.074511069	0.0082761626	120.82895	2385.9033	2515.5522	8.9490968	1.4251654	1.8925578	414.74497	460.41798	9.1787553e-06	0.017279963
9.0000000	0.0011482876	999.73549	0.0010002646	37.823653	37.824802	0.13623923	4.1940110	4.1972347	1443.0924	-0.23333271	0.0013444841	0.57659655	0.074366348	0.0088258331	113.30375	2387.2754	2517.3807	8.9243160	1.4260370	1.8936249	415.45667	446.32434	9.2085310e-06	0.017345971
10.000000	0.0012281990	999.65462	0.0010003455	42.020027	42.021256	0.15108579	4.1909844	4.1955392	1447.1101	-0.23251051	0.0013059903	0.57871194	0.074221044	0.0094070520	106.30323	2388.6468	2519.2083	8.8997599	1.4269129	1.8947003	416.16675	432.72414	9.2384356e-06	0.017412204
11.000000	0.0013129691	999.56036	0.0010004398	46.214769	46.216083	0.16587425	4.1878845	4.1939700	1451.0300	-0.23170134	0.0012692369	0.58078908	0.074075157	0.010021324	99.787212	2390.0176	2521.0351	8.8754256	1.4277928	1.8957839	416.87522	419.60209	9.2684667e-06	0.017478662
12.000000	0.0014028482	999.45305	0.0010005472	50.408001	50.409405	0.18060545	4.1847136	4.1925189	1454.8539	-0.23090463	0.0012341178	0.58282929	0.073928688	0.010670210	93.718867	2391.3877	2522.8610	8.8513107	1.4286766	1.8968754	417.58209	406.94313	9.2986219e-06	0.017545348
13.000000	0.0014980962	999.33303	0.0010006674	54.599837	54.601337	0.19528020	4.1814741	4.1911783	1458.5836	-0.23011984	0.0012005351	0.58483380	0.073781639	0.011355327	88.064395	2392.7571	2524.6860	8.8274126	1.4295642	1.8979750	418.28735	394.73249	9.3288988e-06	0.017612260
